               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.032716,            0.011323,            0.011191,             0.86308,             0.86832,             0.91407,             0.49109,            0.025844,           0.0062427,           0.0059437,            0.004456,            0.004456,            0.004456
                  58,            0.032888,            0.011525,           0.0098272,             0.86735,             0.88086,             0.91878,             0.50086,            0.025501,           0.0060635,           0.0057542,            0.004357,            0.004357,            0.004357
                  59,             0.03268,            0.011153,           0.0096373,             0.87348,             0.88136,             0.92162,             0.50471,            0.025773,           0.0061282,            0.006237,            0.004258,            0.004258,            0.004258
                  60,            0.032879,            0.011282,             0.01056,             0.85781,             0.87714,             0.91285,              0.4922,            0.025898,            0.006147,           0.0067954,            0.004159,            0.004159,            0.004159
                  61,            0.033065,            0.011181,            0.010239,             0.88156,             0.85496,             0.91736,             0.50062,             0.02566,           0.0060645,           0.0063153,             0.00406,             0.00406,             0.00406
                  62,            0.032479,            0.011071,           0.0096974,             0.85211,             0.89873,             0.91731,             0.50754,             0.02543,           0.0060873,           0.0060214,            0.003961,            0.003961,            0.003961
                  63,             0.03278,            0.011107,            0.010585,             0.87591,             0.86872,             0.91328,             0.49523,            0.025753,           0.0061452,           0.0068758,            0.003862,            0.003862,            0.003862
                  64,             0.03218,            0.010921,            0.010004,             0.89223,             0.90255,              0.9246,             0.50975,            0.025598,           0.0060919,           0.0051458,            0.003763,            0.003763,            0.003763
                  65,            0.032399,            0.011159,            0.010531,             0.89952,             0.87834,             0.92472,             0.49881,            0.025579,           0.0061091,           0.0052073,            0.003664,            0.003664,            0.003664
                  66,            0.032139,            0.011118,           0.0098828,              0.8656,             0.88968,             0.92496,             0.50393,            0.025497,           0.0061101,            0.005514,            0.003565,            0.003565,            0.003565
                  67,            0.031144,            0.010986,           0.0090158,             0.87267,             0.89452,              0.9222,             0.51042,            0.025142,           0.0060661,           0.0054932,            0.003466,            0.003466,            0.003466
                  68,            0.031749,             0.01104,           0.0093881,             0.88848,              0.8827,             0.92204,             0.51987,            0.025025,           0.0060678,            0.006242,            0.003367,            0.003367,            0.003367
                  69,            0.031975,            0.011266,           0.0095531,             0.86808,             0.89992,             0.92587,             0.51549,             0.02541,            0.006026,           0.0059057,            0.003268,            0.003268,            0.003268
                  70,            0.031619,            0.011318,           0.0094663,             0.88905,             0.88967,             0.92356,             0.50999,            0.025396,           0.0060591,           0.0053892,            0.003169,            0.003169,            0.003169
                  71,            0.031573,            0.010957,           0.0092536,             0.88355,             0.91015,             0.93109,             0.51628,            0.024974,           0.0060269,           0.0054014,             0.00307,             0.00307,             0.00307
                  72,            0.031731,            0.010887,           0.0090275,             0.87374,              0.9028,             0.92756,             0.51482,            0.025075,           0.0061153,           0.0053083,            0.002971,            0.002971,            0.002971
                  73,            0.032216,            0.010855,           0.0097755,             0.87504,             0.89438,             0.92211,             0.51442,            0.024991,           0.0060064,           0.0059979,            0.002872,            0.002872,            0.002872
                  74,            0.031129,             0.01114,           0.0088804,              0.9032,             0.87793,              0.9311,             0.52124,            0.025132,           0.0059689,           0.0057535,            0.002773,            0.002773,            0.002773
                  75,             0.03105,            0.011052,           0.0093516,             0.86594,             0.90565,             0.92007,             0.52099,            0.024885,           0.0060407,           0.0059699,            0.002674,            0.002674,            0.002674
